id,start,stop,search
809436509,1279,1343,Размер обеспечения исполнения контракта 6593.25 Российский рубль
854885310,1222,1318,Поставщик должен предоставить обеспечение исполнения контракта в размере 10 % от цены Контракта.
4382157,1297,1343,Размер обеспечения исполнения контракта 10.00%
184555082,1304,1350,Размер обеспечения исполнения контракта 10.00%
211645258,1302,1348,Размер обеспечения исполнения контракта 10.00%
462513308,1256,1398,"Размер обеспечения исполнения контракта устанавливается в размере 5 (пять) процентов от цены, по которой заключается контракт и составляет ___"
988172508,1298,1410,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
359099757,1311,1423,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
967226407,1302,1414,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
19349887,1303,1415,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
159138130,1322,1434,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
965420296,1305,1417,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
901742021,1310,1422,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
426191570,1322,1434,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
532125093,1310,1422,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
934282929,1314,1426,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
640362118,1305,1351,Размер обеспечения исполнения контракта 10.00%
353072436,1280,1325,Размер обеспечения исполнения контракта 5.00%
807692640,1244,1398,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5 % от начальной (максимальной) цены Контракта
77103477,1290,1355,Размер обеспечения исполнения контракта 11635.97 Российский рубль
267167769,1279,1368,Обеспечение исполнения Контракта устанавливается в размере 5 процентов от Цены Контракта.
661965202,1290,1335,Размер обеспечения исполнения контракта 5.00%
147255818,1309,1354,Размер обеспечения исполнения контракта 1.00%
473353623,1279,1396,"Размер обеспечения исполнения контракта составляет 10 (Десять) процентов цены контракта, что составляет _____ рублей."
711021024,1282,1346,Размер обеспечения исполнения контракта 1239.41 Российский рубль
995223635,1268,1368,"Обеспечение исполнения контракта устанавливается в размере 5% цены, по которой заключается контракт."
9005638,1300,1440,"Исполнитель внес обеспечение исполнения Контракта в размере ___ , что составляет 5 % Цены Контракта в форме безотзывной независимой гарантии"
253868462,1208,1268,Размер обеспечения исполнения контракта: 1% от цены контакта
474168924,1300,1372,Размер обеспечения исполнения контракта составляет 5% от цены контракта.
339296820,1220,1353,"Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5,00 % от цены Контракта."
